Time Stamp,ID,Extended,Dir,Bus,LEN,D1,D2,D3,D4,D5,D6,D7,D8
5475395,25,false,Rx,0,8,0,3,10,2A,0,0,0F,64
5485398,25,false,Rx,0,8,0,3,10,2A,0,0,0,DF
5495419,25,false,Rx,0,8,0,3,10,2A,0,0,1,C2
5505600,25,false,Rx,0,8,0,3,10,2A,0,0,2,E5
5515479,25,false,Rx,0,8,0,3,10,2A,0,0,3,F8
5525456,25,false,Rx,0,8,0,3,10,2A,0,0,4,AB
5535418,25,false,Rx,0,8,0,3,10,2A,0,0,5,B6
5545396,25,false,Rx,0,8,0,3,10,2A,0,0,6,91
5555361,25,false,Rx,0,8,0,3,10,2A,0,0,7,8C
5565388,25,false,Rx,0,8,0,3,10,2A,0,0,8,37
5575824,25,false,Rx,0,8,0,3,10,2A,0,0,9,2A
5585519,25,false,Rx,0,8,0,3,10,2A,0,0,0A,0D
5595416,25,false,Rx,0,8,0,3,10,2A,0,0,0B,10
5605660,25,false,Rx,0,8,0,3,10,2A,0,0,0C,43
5615413,25,false,Rx,0,8,0,3,10,2A,0,0,0D,5E
5625745,25,false,Rx,0,8,0,3,10,2A,0,0,0E,79
5635639,25,false,Rx,0,8,0,3,10,28,0,0,0F,43
5645438,25,false,Rx,0,8,0,3,10,28,0,0,0,F8
5655704,25,false,Rx,0,8,0,3,10,28,0,0,1,E5
5665595,25,false,Rx,0,8,0,3,10,26,0,0,2,37
5675526,25,false,Rx,0,8,0,3,10,26,0,0,3,2A
5685640,25,false,Rx,0,8,0,3,10,26,0,0,4,79
5695502,25,false,Rx,0,8,0,3,10,26,0,0,5,64
5705438,25,false,Rx,0,8,0,3,10,26,0,0,6,43
5715499,25,false,Rx,0,8,0,3,10,26,0,0,7,5E
5725470,25,false,Rx,0,8,0,3,10,24,0,0,8,C2
5735363,25,false,Rx,0,8,0,3,10,24,0,0,9,DF
5745479,25,false,Rx,0,8,0,3,10,24,0,0,0A,F8
5755592,25,false,Rx,0,8,0,3,10,22,0,0,0B,8C
5765371,25,false,Rx,0,8,0,3,10,22,0,0,0C,DF
5775479,25,false,Rx,0,8,0,3,10,22,0,0,0D,C2
5785539,25,false,Rx,0,8,0,3,10,22,0,0,0E,E5
5795377,25,false,Rx,0,8,0,3,10,22,0,0,0F,F8
5805559,25,false,Rx,0,8,0,3,10,22,0,0,0,43
5815377,25,false,Rx,0,8,0,3,10,22,0,0,1,5E
5825834,25,false,Rx,0,8,0,3,10,22,0,0,2,79
5835726,25,false,Rx,0,8,0,3,10,22,0,0,3,64
5845479,25,false,Rx,0,8,0,3,10,22,0,0,4,37
5855698,25,false,Rx,0,8,0,3,10,22,0,0,5,2A
5865563,25,false,Rx,0,8,0,3,10,22,0,0,6,0D
5875496,25,false,Rx,0,8,0,3,10,22,0,0,7,10
